claimID,employer,employercity,employerstate,employerzip,gender,hispanic,asian,claim_amount,case_open,valid,invalid,verified_claim,case_close,first_response,formal_investigate,wage_order,total_rec,wage_rec,duration
LLVA62639,EYE CANDY LASH BOUTIQUE,VIRGINIA BEACH,VA,23452,female,TRUE,FALSE,0,2018-06-07,FALSE,FALSE,0,2018-06-07,FALSE,FALSE,FALSE,0,0,0
LLVA62640,DANVILLE ORTHOPEDIC ATHLETIC REHAB,DANVILLE,VA,24540,female,FALSE,FALSE,1833,2018-06-15,FALSE,FALSE,0,2018-07-20,FALSE,FALSE,FALSE,0,0,35
LLVA62641,ROTO-ROOTER,MANASSAS,VA,20110,male,FALSE,FALSE,485.75,2018-06-14,FALSE,FALSE,0,2018-07-05,FALSE,FALSE,FALSE,0,0,21
LLVA62643,CEI LOGISTICS DEPARTMENT,NA,NA,NA,female,FALSE,FALSE,0,2018-06-15,FALSE,FALSE,0,2018-07-05,FALSE,FALSE,FALSE,0,0,20
LLVA62644,PHYSIATRY SPORTS & FAMILY MEDICINE,CHESAPEAKE,VA,23502,NA,FALSE,FALSE,577.5,2018-06-18,FALSE,FALSE,0,2018-06-18,FALSE,FALSE,FALSE,0,0,0
LLVA62646,INFINTRAK LLC,HERNDON,VA,20170,male,FALSE,FALSE,35972,2018-06-08,FALSE,FALSE,0,2018-06-08,FALSE,FALSE,FALSE,0,0,0
LLVA62648,BDS MARKETING LLC,IRVINE,CA,92618,NA,FALSE,FALSE,870,2018-06-08,FALSE,FALSE,0,2018-06-08,FALSE,FALSE,FALSE,0,0,0
LLVA62649,TPP OPERATING INC,RICHARDSON,TX,75081,female,FALSE,FALSE,762.67,2018-06-08,FALSE,FALSE,0,2018-06-08,FALSE,FALSE,FALSE,0,0,0
LLVA62650,DR TRAVIS LEE MD,CHESAPEAKE,VA,23320,female,FALSE,FALSE,1000,2018-06-20,FALSE,FALSE,0,2018-08-10,FALSE,FALSE,FALSE,0,0,51
LLVA62651,BEYOND DISABILITIES LLC,NEWPORT NEWS,VA,23606,female,FALSE,FALSE,75,2018-06-20,FALSE,FALSE,75,2018-07-10,FALSE,FALSE,FALSE,0,0,20
LLVA62652,BLUE RIDGE AESTHETICS AT CROZET,CHARLOTTESVILLE,VA,22903,female,FALSE,TRUE,2175,2018-06-21,FALSE,FALSE,0,2018-08-03,FALSE,FALSE,FALSE,0,0,43
LLVA62653,CRM LENDING,VIENNA,VA,22182,female,FALSE,FALSE,1000,2018-06-08,FALSE,FALSE,0,2018-06-08,FALSE,FALSE,FALSE,0,0,0
LLVA62654,SHAWARMA SHACK,RICHMOND,VA,23220,female,FALSE,FALSE,0,2018-06-15,FALSE,FALSE,0,2018-06-18,FALSE,FALSE,FALSE,0,0,3
LLVA62655,BETTER LIFE SERVICES,VIRGINIA BEACH,VA,23455,female,FALSE,FALSE,3805,2018-06-15,FALSE,FALSE,0,2018-08-23,FALSE,FALSE,FALSE,0,0,69
LLVA62656,C.M. NOBLE CORPORATION,VIRGINIA BEACH,VA,23452,NA,FALSE,FALSE,7000,2018-06-08,FALSE,FALSE,0,2018-06-08,FALSE,FALSE,FALSE,0,0,0
LLVA62658,THE ALCOVE,VIRGINIA BEACH,VA,23452,male,FALSE,FALSE,0,2018-06-25,FALSE,FALSE,0,2018-06-27,FALSE,FALSE,FALSE,0,0,2
LLVA62660,STAFFZONE,RICHMOND,VA,23220,male,FALSE,FALSE,90,2018-06-21,FALSE,FALSE,60,2018-07-09,FALSE,FALSE,FALSE,0,0,18
LLVA62661,"WORLD NET DAILY COM, INC",CHANTILLY,VA,20151,male,FALSE,TRUE,3115.38,2018-06-21,FALSE,FALSE,0,2018-06-21,FALSE,FALSE,FALSE,0,0,0
LLVA62662,"SETTLEMENT SERVICES, LLC",ALEXANDRIA,VA,22310,male,FALSE,FALSE,206.25,2018-06-14,FALSE,FALSE,0,2018-06-14,FALSE,FALSE,FALSE,0,0,0
LLVA62663,LEVOC FAMILY SERVICES LLC,CHESAPEAKE,VA,23851,female,FALSE,FALSE,400,2018-06-25,FALSE,FALSE,0,2018-06-25,FALSE,FALSE,FALSE,0,0,0
LLVA62665,PUBLIC PARTNERSHIP,GLEN ALLEN,VA,23060,female,FALSE,FALSE,4000,2018-06-22,FALSE,FALSE,0,2018-06-27,FALSE,FALSE,FALSE,0,0,5
LLVA62666,SAFE HAVEN,RICHMOND,VA,23225,female,FALSE,FALSE,850,2018-06-14,FALSE,FALSE,0,2018-06-14,FALSE,FALSE,FALSE,0,0,0
LLVA62667,"ALPHA COUNSELLORS SERVICES, INC",HAMPTON,VA,23666,male,FALSE,FALSE,5322,2018-06-14,FALSE,FALSE,0,2018-06-14,FALSE,FALSE,FALSE,0,0,0
LLVA62668,CONYERS ELECTRICAL SERVICE,CHESAPEAKE,VA,23320,female,FALSE,FALSE,730.86,2018-06-22,FALSE,FALSE,0,2018-06-22,FALSE,FALSE,FALSE,0,0,0
LLVA62669,CLEAN WIZARDS JANITORIAL,VIRGINIA BEACH,VA,23462,NA,FALSE,FALSE,700,2018-06-25,FALSE,FALSE,0,2018-06-25,FALSE,FALSE,FALSE,0,0,0
LLVA62670,STEADY ROLLIN' CONSTRUCTION SERVICES,WINCHESTER,VA,22602,male,FALSE,FALSE,766,2018-06-25,FALSE,FALSE,0,2018-06-25,FALSE,FALSE,FALSE,0,0,0
LLVA62671,"QUICK-EHE, INC.",FINCASTLE,VA,24090,female,FALSE,FALSE,183.75,2018-06-25,FALSE,FALSE,225,2018-07-05,FALSE,FALSE,FALSE,0,0,10
LLVA62672,SIMPLY GRACE HEALTHCARE SERVICES,CHESAPEAKE,VA,23320,NA,FALSE,FALSE,206.25,2018-06-25,FALSE,FALSE,206.25,2018-07-05,FALSE,FALSE,FALSE,0,0,10
LLVA62673,"TPP OPERATING, INC",RICHARDSON,TX,75081,female,FALSE,FALSE,3750.54,2018-06-14,FALSE,FALSE,0,2018-06-14,FALSE,FALSE,FALSE,0,0,0
LLVA62674,DOUBLE M,BATON ROUGE,LA,70809,female,FALSE,FALSE,3183.05,2018-06-14,FALSE,FALSE,0,2018-06-14,FALSE,FALSE,FALSE,0,0,0
LLVA62675,VALLEY DENTAL CARE,CULPEPER,VA,22701,NA,FALSE,FALSE,20342,2018-06-14,FALSE,FALSE,0,2018-06-14,FALSE,FALSE,FALSE,0,0,0
LLVA62676,CONYERS ELECTRICAL SERVICES,CHESAPEAKE,VA,23320,male,FALSE,FALSE,4525.26,2018-06-14,FALSE,FALSE,0,2018-06-14,FALSE,FALSE,FALSE,0,0,0
LLVA62679,COMMONWEALTH VISION CENTER P.C.,BLACKSTONE,VA,23824,NA,FALSE,FALSE,0,2018-06-25,FALSE,FALSE,145.54,2018-08-08,FALSE,FALSE,FALSE,0,0,44
LLVA62680,MARIA SIMS,SPOTSYLVANIA,VA,22553,female,FALSE,FALSE,715.8,2018-07-25,FALSE,FALSE,0,2018-07-25,FALSE,FALSE,FALSE,0,0,0
LLVA62681,TIDEWATER ROOFING,HAMPTON,VA,23455,female,FALSE,FALSE,1300,2018-06-29,FALSE,FALSE,650,2018-09-13,FALSE,FALSE,FALSE,0,0,76
LLVA62682,CARE ADVANTAGE,CHESAPEAKE,VA,23220,female,FALSE,FALSE,43.5,2018-06-25,FALSE,FALSE,64.13,2018-07-27,FALSE,FALSE,FALSE,0,0,32
LLVA62683,PRECISION PAINTING DEMO CONTRACTING LLC,NA,NA,NA,male,FALSE,FALSE,0,2018-06-15,FALSE,FALSE,0,2018-06-15,FALSE,FALSE,FALSE,0,0,0
LLVA62684,"METTERS, INC",MCLEAN,VA,22102,male,FALSE,FALSE,14423.1,2018-06-15,FALSE,FALSE,0,2018-06-15,FALSE,FALSE,FALSE,0,0,0
LLVA62685,I-64 HOTEL AKAZA,RICHMOND,VA,23230,female,FALSE,FALSE,3000,2018-06-28,FALSE,FALSE,0,2018-07-25,FALSE,FALSE,FALSE,0,0,27
LLVA62686,"AGAPE CARE, LLC",NORFOLK,VA,23523,NA,FALSE,FALSE,640,2018-06-25,FALSE,FALSE,273.48,2018-08-06,FALSE,FALSE,FALSE,0,0,42
LLVA62687,MISSIION REALTY,RICHMOND,VA,23226,female,FALSE,FALSE,1038,2018-06-21,FALSE,FALSE,0,2018-06-21,FALSE,FALSE,FALSE,0,0,0
LLVA62688,CYNTHIA ANN INTERIORS,BLUEMONT,VA,20135,male,FALSE,FALSE,0,2018-06-21,FALSE,FALSE,0,2018-06-21,FALSE,FALSE,FALSE,0,0,0
LLVA62689,LARRY'S DELI,VIRGINIA  BEACH,VA,23462,female,FALSE,FALSE,2753.48,2018-06-21,FALSE,FALSE,0,2018-06-21,FALSE,FALSE,FALSE,0,0,0
LLVA62690,SERVICE TIRE TRUCK CENTER,WINCHESTER,VA,22603,male,FALSE,FALSE,1190,2018-06-28,FALSE,FALSE,0,2018-08-01,FALSE,FALSE,FALSE,0,0,34
LLVA62691,MCCORMICK & SCHMICK RESTAURANT CORP.,MCLEAN,VA,22102,male,TRUE,FALSE,1500,2018-07-09,FALSE,FALSE,880.32,2018-07-25,FALSE,FALSE,FALSE,0,0,16
LLVA62692,"TECH MARKETING GROUP,  INC.",RICHMOND,VA,23219,NA,FALSE,FALSE,800,2018-07-02,FALSE,FALSE,0,2018-07-03,FALSE,FALSE,FALSE,0,0,1
LLVA62693,"SERVICEMASTER SERVICES, INC.",RICHMOND,VA,23220,female,FALSE,FALSE,759,2018-06-21,FALSE,FALSE,0,2018-06-21,FALSE,FALSE,FALSE,0,0,0
LLVA62694,FRAMING Y DRYWALL,CHARLOTTESVILLE,VA,22901,male,TRUE,FALSE,0,2018-06-21,FALSE,FALSE,0,2018-06-21,FALSE,FALSE,FALSE,0,0,0
LLVA62695,FRAMING Y DRYWALL,CHARLOTTESVILLE,VA,22903,male,TRUE,FALSE,0,2018-06-21,FALSE,FALSE,0,2018-06-21,FALSE,FALSE,FALSE,0,0,0
LLVA62696,CARING & SHARING,NEWPORT NEWS,VA,23607,female,FALSE,FALSE,1283.25,2018-06-21,FALSE,FALSE,0,2018-06-21,FALSE,FALSE,FALSE,0,0,0
